#OTU ID	BS1
ZOTU_1403	6
ZOTU_1407	1
ZOTU_1415	18
ZOTU_1417	2
ZOTU_1423	2
ZOTU_1428	4
ZOTU_1432	3
ZOTU_1437	3
ZOTU_1457	30
ZOTU_1480	4
ZOTU_1482	3
ZOTU_1491	3
ZOTU_1496	32
ZOTU_1501	23
ZOTU_1524	1
ZOTU_1528	10
ZOTU_1540	36
ZOTU_1549	8
ZOTU_1551	36
ZOTU_1564	7
ZOTU_1569	19
ZOTU_1576	8
ZOTU_1601	1
ZOTU_1605	1
ZOTU_1625	26
ZOTU_1626	1
ZOTU_1631	4
ZOTU_1656	14
ZOTU_1662	7
ZOTU_1672	4
ZOTU_1701	1
ZOTU_1725	2
ZOTU_1729	1
ZOTU_1735	2
ZOTU_1747	1
ZOTU_1758	30
ZOTU_1772	5
ZOTU_1773	24
ZOTU_1776	31
ZOTU_1777	2
ZOTU_1779	6
ZOTU_1780	24
ZOTU_1789	35
ZOTU_1792	5
ZOTU_1799	35
ZOTU_1811	5
ZOTU_1833	1
ZOTU_1834	3
ZOTU_1835	7
ZOTU_1840	6
ZOTU_1843	17
ZOTU_1851	8
ZOTU_1860	2
ZOTU_1865	1
ZOTU_1866	26
ZOTU_1868	6
ZOTU_1869	1
ZOTU_1889	15
ZOTU_1898	23
ZOTU_1899	34
ZOTU_1911	26
ZOTU_1918	18
ZOTU_1924	35
ZOTU_1961	10
ZOTU_1970	23
ZOTU_2008	4
ZOTU_2021	1
ZOTU_2022	2
ZOTU_2024	2
ZOTU_2030	2
ZOTU_2062	21
ZOTU_2094	22
ZOTU_2098	30
ZOTU_2101	1
ZOTU_2119	1
ZOTU_2128	1
ZOTU_2152	23
ZOTU_2166	1
ZOTU_2177	6
ZOTU_2184	9
ZOTU_2185	2
ZOTU_2199	23
ZOTU_2202	10
ZOTU_2226	4
ZOTU_2232	5
ZOTU_2236	1
ZOTU_2248	6
ZOTU_2255	2
ZOTU_2257	3
ZOTU_2265	7
ZOTU_2274	25
ZOTU_2291	5
ZOTU_2294	2
ZOTU_2297	3
ZOTU_2312	2
ZOTU_2321	2
ZOTU_2359	9
ZOTU_2360	10
ZOTU_2365	6
ZOTU_2369	8
ZOTU_2378	20
ZOTU_2389	1
ZOTU_2391	17
ZOTU_2412	6
ZOTU_2425	23
ZOTU_2454	10
ZOTU_2457	17
ZOTU_2469	2
ZOTU_2473	9
ZOTU_2476	1
ZOTU_2489	13
ZOTU_2496	19
ZOTU_2505	14
ZOTU_2528	18
ZOTU_2546	13
ZOTU_2558	20
ZOTU_2568	3
ZOTU_2585	3
ZOTU_2593	3
ZOTU_2604	2
ZOTU_2606	1
ZOTU_2621	1
ZOTU_2628	1
ZOTU_2635	15
ZOTU_2644	1
ZOTU_2674	2
ZOTU_2702	16
ZOTU_2703	1
ZOTU_2704	20
ZOTU_2718	1
ZOTU_2731	9
ZOTU_2736	17
ZOTU_2743	5
ZOTU_2745	18
ZOTU_2755	1
ZOTU_2769	5
ZOTU_2775	4
ZOTU_2784	3
ZOTU_2785	10
ZOTU_2810	14
ZOTU_2835	2
ZOTU_2848	5
ZOTU_2877	18
ZOTU_2879	7
ZOTU_2880	21
ZOTU_2888	18
ZOTU_2902	13
ZOTU_2915	6
ZOTU_2921	19
ZOTU_2938	2
ZOTU_2954	14
ZOTU_2958	16
ZOTU_2960	6
ZOTU_2962	7
ZOTU_3038	17
ZOTU_3040	3
ZOTU_3051	5
ZOTU_3053	8
ZOTU_3058	3
ZOTU_3060	1
ZOTU_3065	8
ZOTU_3074	3
ZOTU_3079	19
ZOTU_3082	5
ZOTU_3099	9
ZOTU_3192	5
ZOTU_3199	5
ZOTU_3206	13
ZOTU_3220	1
ZOTU_3228	4
ZOTU_3246	2
ZOTU_3249	5
ZOTU_3253	17
ZOTU_3256	1
ZOTU_3262	11
ZOTU_3277	1
ZOTU_3279	6
