#catalog	fastrand	usearch
ZOTU_1066	0	1
ZOTU_1076	0	2
ZOTU_1465	0	2
ZOTU_1492	0	1
ZOTU_1790	0	1
ZOTU_2138	0	2
ZOTU_2286	0	1
ZOTU_2353	0	1
ZOTU_2509	0	1
ZOTU_2870	0	1
ZOTU_3254	0	1
ZOTU_3269	0	1
ZOTU_3807	0	1
ZOTU_3910	0	3
ZOTU_4254	0	1
ZOTU_4326	0	1
ZOTU_4739	0	1
ZOTU_5015	0	1
ZOTU_5658	0	1
