#OTU ID	BS1
ZOTU_1496	33
ZOTU_1501	24
ZOTU_1524	2
ZOTU_1528	6
ZOTU_1540	25
ZOTU_1549	10
ZOTU_1551	43
ZOTU_1564	9
ZOTU_1569	21
ZOTU_1576	5
ZOTU_1601	1
ZOTU_1605	5
ZOTU_1625	32
ZOTU_1626	3
ZOTU_1631	5
ZOTU_1656	10
ZOTU_1662	8
ZOTU_1672	4
ZOTU_1701	2
ZOTU_1725	3
ZOTU_1735	3
ZOTU_1747	1
ZOTU_1758	31
ZOTU_1772	5
ZOTU_1773	26
ZOTU_1776	30
ZOTU_1777	3
ZOTU_1779	4
ZOTU_1780	23
ZOTU_1789	21
ZOTU_1790	1
ZOTU_1792	5
ZOTU_1799	33
ZOTU_1811	7
ZOTU_1833	1
ZOTU_1834	3
ZOTU_1835	8
ZOTU_1840	6
ZOTU_1843	15
ZOTU_1851	8
ZOTU_1860	1
ZOTU_1866	26
ZOTU_1868	8
ZOTU_1869	3
ZOTU_1889	15
ZOTU_1898	23
ZOTU_1899	32
ZOTU_1911	29
ZOTU_1918	23
ZOTU_1924	39
ZOTU_1961	7
ZOTU_1970	24
ZOTU_2008	5
ZOTU_2021	1
ZOTU_2022	2
ZOTU_2024	2
ZOTU_2030	2
ZOTU_2062	21
ZOTU_2094	24
ZOTU_2098	30
ZOTU_2119	1
ZOTU_2128	1
ZOTU_2138	2
ZOTU_2152	23
ZOTU_2166	1
ZOTU_2177	4
ZOTU_2184	12
ZOTU_2185	3
ZOTU_2199	19
ZOTU_2202	9
ZOTU_2226	2
ZOTU_2232	4
ZOTU_2236	1
ZOTU_2248	4
ZOTU_2255	2
ZOTU_2257	4
ZOTU_2265	7
ZOTU_2274	23
ZOTU_2286	1
ZOTU_2291	5
ZOTU_2297	6
ZOTU_2312	1
ZOTU_2321	2
ZOTU_2353	1
ZOTU_2359	12
ZOTU_2360	13
ZOTU_2365	4
ZOTU_2369	6
ZOTU_2378	21
ZOTU_2389	1
ZOTU_2391	19
ZOTU_2412	2
ZOTU_2425	22
ZOTU_2454	20
ZOTU_2457	16
ZOTU_2469	2
ZOTU_2473	10
ZOTU_2476	1
ZOTU_2489	13
ZOTU_2496	19
ZOTU_2505	16
ZOTU_2509	1
ZOTU_2528	15
ZOTU_2546	10
ZOTU_2558	19
ZOTU_2568	3
ZOTU_2585	3
ZOTU_2593	1
ZOTU_2604	2
ZOTU_2606	1
ZOTU_2621	1
ZOTU_2635	14
ZOTU_2674	1
ZOTU_2702	18
ZOTU_2703	1
ZOTU_2704	15
ZOTU_2718	1
ZOTU_2731	8
ZOTU_2736	19
ZOTU_2743	3
ZOTU_2745	19
ZOTU_2755	1
ZOTU_2769	5
ZOTU_2775	3
ZOTU_2784	3
ZOTU_2785	7
ZOTU_2810	25
ZOTU_2835	1
ZOTU_2848	4
ZOTU_2870	1
ZOTU_2877	18
ZOTU_2879	7
ZOTU_2880	16
ZOTU_2888	17
ZOTU_2902	16
ZOTU_2915	3
ZOTU_2921	16
ZOTU_2938	4
ZOTU_2954	12
ZOTU_2958	16
ZOTU_2960	8
ZOTU_2962	6
ZOTU_3038	14
ZOTU_3040	2
ZOTU_3051	6
ZOTU_3053	9
ZOTU_3058	2
ZOTU_3060	1
ZOTU_3065	10
ZOTU_3074	2
ZOTU_3079	16
ZOTU_3082	4
ZOTU_3099	16
ZOTU_3192	5
ZOTU_3199	5
ZOTU_3206	16
ZOTU_3220	1
ZOTU_3228	4
ZOTU_3246	1
ZOTU_3249	8
ZOTU_3253	20
ZOTU_3254	1
ZOTU_3256	1
ZOTU_3262	15
ZOTU_3269	1
ZOTU_3277	1
ZOTU_3279	7
ZOTU_3289	17
ZOTU_3296	8
ZOTU_3303	17
ZOTU_3305	3
ZOTU_3311	2
ZOTU_3320	2
ZOTU_3326	2
ZOTU_3338	19
ZOTU_3372	2
ZOTU_3375	2
ZOTU_3380	9
ZOTU_3385	14
ZOTU_3420	1
ZOTU_3421	6
ZOTU_3433	17
ZOTU_3460	9
ZOTU_3480	20
ZOTU_3494	1
ZOTU_3500	3
ZOTU_3506	12
ZOTU_3536	2
ZOTU_3550	12
ZOTU_3575	4
ZOTU_3617	8
ZOTU_3625	1
ZOTU_3631	7
ZOTU_3647	9
ZOTU_3650	2
ZOTU_3651	6
ZOTU_3670	3
ZOTU_3671	3
ZOTU_3688	16
ZOTU_3701	8
ZOTU_3709	12
ZOTU_3711	2
ZOTU_3807	1
ZOTU_3845	10
ZOTU_3853	6
ZOTU_3856	14
ZOTU_3884	5
ZOTU_3891	11
ZOTU_3910	3
ZOTU_3925	4
ZOTU_3928	3
ZOTU_3950	3
ZOTU_3971	15
ZOTU_3976	10
ZOTU_3994	13
ZOTU_4005	3
ZOTU_4015	1
ZOTU_4026	1
ZOTU_4032	9
ZOTU_4060	11
ZOTU_4076	2
ZOTU_4101	10
ZOTU_4106	14
ZOTU_4125	1
ZOTU_4132	9
ZOTU_4153	13
ZOTU_4187	6
ZOTU_4209	2
ZOTU_4214	4
ZOTU_4226	15
ZOTU_4228	13
ZOTU_4239	14
ZOTU_4241	4
ZOTU_4245	16
ZOTU_4251	3
ZOTU_4254	1
ZOTU_4262	2
ZOTU_4287	8
ZOTU_4288	13
ZOTU_4303	9
ZOTU_4304	5
ZOTU_4305	8
ZOTU_4309	4
ZOTU_4311	5
ZOTU_4326	1
ZOTU_4329	1
ZOTU_4356	13
ZOTU_4365	9
ZOTU_4366	7
ZOTU_4373	9
ZOTU_4396	12
ZOTU_4402	4
ZOTU_4405	1
ZOTU_4408	4
ZOTU_4416	9
ZOTU_4427	9
